user,local_date,hr_avg,hr_std,hr_max,hr_min,subject_id,date,Q1,Q2,Q3,S1,S2,S3,S4,date-1
user01,2020-08-31,88.04832064358568,8.985455329646918,118.98,61.63,user01,2020-08-31,0,0,0,0,1,1,1,2020-08-30
user01,2020-09-05,86.94846183696733,13.987130245574384,160.87,57.43,user01,2020-09-05,1,0,1,1,1,0,1,2020-09-04
user01,2020-09-07,83.27650227998177,12.863235373392461,165.08,54.07,user01,2020-09-07,1,0,1,1,1,1,1,2020-09-06
user01,2020-09-08,83.18378108160748,13.507035428371733,131.33,55.72,user01,2020-09-08,0,1,1,0,1,1,1,2020-09-07
user01,2020-09-09,87.78992028985508,9.67274144160698,108.23,60.93,user01,2020-09-09,0,0,1,0,0,0,1,2020-09-08
user01,2020-09-12,85.02695249597423,13.203509999068466,133.08,55.53,user01,2020-09-12,0,0,1,0,0,1,1,2020-09-11
user01,2020-09-13,85.96202158382732,13.591047429082963,143.28,55.02,user01,2020-09-13,0,0,1,1,1,1,0,2020-09-12
user01,2020-09-14,84.27497930463576,12.474020524719288,147.93,56.05,user01,2020-09-14,1,1,0,0,1,0,1,2020-09-13
user01,2020-09-18,91.42829437229436,14.997934289165288,142.1,56.83,user01,2020-09-18,0,1,0,0,1,0,1,2020-09-17
user01,2020-09-19,85.57260082644629,11.692993497500353,156.72,55.43,user01,2020-09-19,1,0,0,1,1,0,1,2020-09-18
user01,2020-09-20,88.13611241892865,14.050148086286532,182.12,56.55,user01,2020-09-20,1,0,0,0,1,1,1,2020-09-19
user01,2020-09-23,89.73308817515493,19.815242688877376,157.13,56.27,user01,2020-09-23,0,0,1,0,0,0,0,2020-09-22
user01,2020-09-24,104.79033333333334,1.80546007764061,108.28,102.95,user01,2020-09-24,0,0,1,0,1,1,1,2020-09-23
user01,2020-09-25,86.69455037647901,13.914095506483779,150.97,56.1,user01,2020-09-25,0,1,1,0,1,1,1,2020-09-24
user01,2020-09-26,87.05874071202429,14.157470971500738,135.22,55.45,user01,2020-09-26,0,0,1,0,1,0,1,2020-09-25
user02,2020-08-31,88.7936231884058,3.363546347591411,95.18,74.5,user02,2020-08-31,0,0,0,0,1,1,1,2020-08-30
user02,2020-09-01,87.3307828525641,12.292926517135324,150.48,56.12,user02,2020-09-01,0,0,0,0,1,1,1,2020-08-31
user02,2020-09-02,86.38970600656206,9.027500002432417,142.82,56.15,user02,2020-09-02,1,0,0,0,0,0,1,2020-09-01
user02,2020-09-03,85.00092311453368,12.82057476559239,165.52,53.88,user02,2020-09-03,0,0,0,0,1,1,1,2020-09-02
user02,2020-09-04,85.00087971274685,13.817063051389434,173.42,48.0,user02,2020-09-04,1,1,0,0,1,0,1,2020-09-03
user02,2020-09-12,91.73977354900096,23.734978374386774,183.68,53.18,user02,2020-09-12,0,1,1,0,0,0,0,2020-09-11
user02,2020-09-13,92.02439117284642,20.394053189783435,184.25,57.28,user02,2020-09-13,0,0,0,1,1,0,1,2020-09-12
user02,2020-09-20,92.88815799298142,15.244592754417338,164.25,66.63,user02,2020-09-20,1,0,1,1,0,0,1,2020-09-19
user02,2020-09-21,89.4448869869675,9.742673614424342,143.15,57.02,user02,2020-09-21,1,0,0,1,1,1,1,2020-09-20
user02,2020-09-22,99.50935667752442,20.712375174819755,189.05,62.18,user02,2020-09-22,0,0,0,0,0,0,1,2020-09-21
